,level_0,latitude,longitude,index,time,u10,v10,d2m,t2m,evabs,evaow,lmld,lmlt,lshf,lai_hv,lai_lv,skt,snowc,sde,smlt,stl1,stl2,stl3,slhf,ssr,str,sp,sro,ssrd,strd,tsn,e,tp
2684,26756,25.55,68.5,10022036.0,2022-06-01,4.3184185,3.8169281,294.2469,306.28192,-1.765415e-05,-9.463169e-06,2.4757996,300.51086,0.6500167,1.8203431,1.1054538,309.14725,0.0,0.0,-9.313226e-10,309.85474,309.3372,307.76312,-146467.0,20161550.0,-8140442.5,99619.94,0.0,25770038.0,36353984.0,273.15988,-5.855318e-05,1.0885298e-05
2685,26757,25.55,68.5,10022037.0,2022-07-01,1.7002747,1.6942832,298.40527,302.7278,-0.0017404322,-0.00047421816,2.500002,301.81967,0.6500025,1.8225362,1.2529976,303.56552,0.0,0.0,-9.313226e-10,304.5676,304.95053,305.9621,-7329063.5,12595182.0,-2961101.5,99611.734,0.00035517104,16086027.0,38586852.0,273.15988,-0.0029307136,0.0069848187
2686,26758,25.55,68.5,10022038.0,2022-08-01,1.3852232,1.395922,297.97345,301.6394,-0.0019819003,-0.0003967929,2.4352245,300.94714,0.6504292,1.822719,1.3494781,301.754,0.0,0.0,-9.313226e-10,302.51373,302.72726,303.41193,-7674114.5,10590137.0,-2636453.5,99690.516,0.0021614302,13432927.0,37924924.0,273.16058,-0.0030687982,0.012053041
2687,26759,25.55,68.5,10022039.0,2022-09-01,2.7367306,2.0270832,295.7026,302.35345,-0.0022042373,-0.00026029628,2.490036,300.39914,0.65000963,1.822719,1.3480791,302.79846,0.0,0.0,-9.313226e-10,303.5774,303.53485,303.46292,-6220892.0,11855278.0,-2966020.5,100146.81,0.0,14882514.0,18562274.0,273.15988,-0.0024875095,3.5697594e-05
2688,26928,29.35,68.6,10112824.0,2022-02-01,0.49622,-0.13772511,272.85986,289.74194,-2.408051e-05,-7.064198e-05,6.9340916,287.5086,0.7907331,0.0,0.51462936,291.3293,0.0,0.0,-9.313226e-10,291.37088,291.33038,291.64932,-239053.0,13578646.0,-9703564.0,93657.78,0.0,19051230.0,25352340.0,273.15988,-9.569293e-05,1.8518418e-05
2689,26929,29.35,68.6,10112825.0,2022-03-01,0.19317031,-0.03601837,276.324,297.6832,-4.306389e-05,-0.00038843183,3.422556,294.10382,0.79998875,0.0,0.5156286,299.76276,0.0,0.0,-9.313226e-10,299.4118,297.89102,295.76135,-1112419.0,16047536.0,-10495235.0,93524.01,1.7210841e-06,22810558.0,28912600.0,273.15988,-0.00044480897,0.00035919994
2690,26930,29.35,68.6,10112826.0,2022-04-01,0.40127587,0.14711809,271.4424,303.61288,-6.322935e-05,-0.00017484999,3.1492062,298.2408,0.7999959,0.0,0.5156286,306.05212,0.0,0.0,-9.313226e-10,305.60962,303.70508,300.71664,-613694.0,18523648.0,-12499692.0,93161.27,5.736947e-07,26701506.0,30287490.0,273.16058,-0.00024539605,0.00014734827
2691,26931,29.35,68.6,10112827.0,2022-05-01,0.9182179,0.31931138,275.31152,306.82498,-7.283199e-05,-9.715278e-05,3.0602264,300.7472,0.7999959,0.0,0.5156286,310.31058,0.0,0.0,-9.313226e-10,309.9041,308.04007,304.6179,-428998.0,19916386.0,-13014264.0,92655.74,0.0,28830766.0,32162110.0,273.1613,-0.00017168745,3.3788383e-05
2692,26932,29.35,68.6,10112828.0,2022-06-01,-0.041939735,1.2668574,284.78333,306.32236,-6.418978e-05,-0.00042316783,2.819622,302.43234,0.79998875,0.0,0.5156286,311.2036,0.0,0.0,-9.313226e-10,310.87506,309.21393,306.5526,-1272297.0,18705414.0,-10767961.0,92530.18,1.7210841e-06,26992480.0,34990210.0,273.15988,-0.0005086139,0.00044126995
2693,26933,29.35,68.6,10112829.0,2022-07-01,-0.25561774,0.41007495,296.77603,301.696,-9.824196e-05,-0.002530913,2.2223835,303.76306,0.79998875,0.0,0.5156286,303.82877,0.0,0.0,-9.313226e-10,304.18454,304.47864,304.96924,-7253658.5,12751269.0,-3847325.5,92630.3,0.00060992874,18412056.0,37814264.0,273.15988,-0.0029004302,0.008096565
2694,26934,29.35,68.6,10112830.0,2022-08-01,-0.7438406,-0.13482833,295.92163,299.8277,-0.00011759484,-0.0024866606,2.2629585,301.91428,0.79998875,0.0,0.5156286,300.88364,0.0,0.0,-9.313226e-10,301.16934,301.39847,302.0507,-7183502.5,11145868.0,-3189831.0,92700.875,0.0007791929,16183312.0,36860280.0,273.16058,-0.0028724323,0.0073560365
2695,26935,29.35,68.6,10112831.0,2022-09-01,0.3290497,0.5137129,292.35315,301.18646,-0.00011353218,-0.0015780195,2.4601383,301.37057,0.7999959,0.0,0.5156286,302.1715,0.0,0.0,-9.313226e-10,302.15472,302.00064,301.8104,-4244126.0,10794374.0,-3731184.5,93035.71,1.1473894e-06,15543257.0,17752802.0,273.15988,-0.0016970942,0.0001063142
2696,26984,28.65,68.6,10118935.0,2022-02-01,-0.5376638,-0.095240116,278.9802,292.39597,-4.040473e-05,-9.402586e-05,3.8902378,290.51752,0.69545245,0.0,0.7613017,294.2065,0.0,0.0,-9.313226e-10,294.38608,294.30725,294.5384,-377933.0,13630006.0,-9685527.0,99925.23,0.0,18904642.0,26777252.0,273.15988,-0.00015111733,5.191937e-05
2697,26985,28.65,68.6,10118936.0,2022-03-01,-0.39428318,-0.02024746,282.57965,299.9675,-5.3774565e-05,-0.00033765344,2.150486,296.95023,0.7320201,0.0,0.75700474,302.1715,0.0,0.0,-9.313226e-10,301.98972,300.7141,298.67084,-1049422.0,16325602.0,-10520103.0,99611.734,1.7210841e-06,22733962.0,30158642.0,273.15988,-0.0004196684,0.00036301836
